,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link,Size,Rent
149,1 week ,30.0,6.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-20167364.html,225-1100,25-37
150,1 week ,33.0,7.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20422448.html,225-1100,25-37
151,1 week ,32.0,19.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-19833369.html,225-1100,25-37
152,1 week ,32.0,10.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-19590253.html,225-1100,25-37
153,1 week ,33.0,8.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-19467190.html,225-1100,25-37
154,1 week ,50.0,11.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-20486064.html,1100-1975,49-61
155,1 week ,33.0,7.0,Flat,E-11,950.0,2.0,2.0,https://www.prop.pk/property/details-20584596.html,225-1100,25-37
156,1 week ,47.0,17.0,Flat,E-11,1150.0,2.0,2.0,https://www.prop.pk/property/details-20689383.html,1100-1975,37-49
157,1 week ,32.0,8.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20737209.html,225-1100,25-37
158,1 week ,23.0,6.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20968246.html,225-1100,14-25
159,1 week ,33.0,7.0,Flat,E-11,1100.0,2.0,2.0,https://www.prop.pk/property/details-21125313.html,1100-1975,25-37
160,1 week ,36.0,7.0,Flat,E-11,1150.0,2.0,2.0,https://www.prop.pk/property/details-21138793.html,1100-1975,25-37
161,1 week ,30.0,6.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-21508271.html,225-1100,25-37
162,1 week ,30.0,8.0,Flat,E-11,1200.0,1.0,1.0,https://www.prop.pk/property/details-16780347.html,1100-1975,25-37
163,1 week ,33.0,5.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-22612400.html,225-1100,25-37
164,1 week ,45.0,17.0,Flat,"E-11/2, E-11",750.0,2.0,2.0,https://www.prop.pk/property/details-20578674.html,225-1100,37-49
165,1 week ,28.0,5.0,Flat,"E-11/2, E-11",750.0,2.0,2.0,https://www.prop.pk/property/details-20249431.html,225-1100,25-37
166,1 week ,30.0,11.0,Flat,"E-11/2, E-11",750.0,2.0,2.0,https://www.prop.pk/property/details-20510263.html,225-1100,25-37
167,1 week ,32.0,10.0,Flat,"E-11/2, E-11",750.0,2.0,2.0,https://www.prop.pk/property/details-19127554.html,225-1100,25-37
168,1 week ,45.0,14.0,Flat,E-11,1500.0,3.0,3.0,https://www.prop.pk/property/details-22594373.html,1100-1975,37-49
169,1 week ,30.0,9.0,Flat,E-11,1500.0,3.0,3.0,https://www.prop.pk/property/details-22592259.html,1100-1975,25-37
170,1 week ,45.0,14.0,Flat,E-11,1500.0,2.0,3.0,https://www.prop.pk/property/details-21450175.html,1100-1975,37-49
